scope,task,layer_idx,tensor_axis,n_samples,sample_indices,mean_relative_l2,median_relative_l2,mean_p99_abs,median_p99_abs,mean_outlier_fraction,median_outlier_fraction,mean_mean,median_mean,mean_std,median_std,mean_variance,median_variance,mean_max_abs,median_max_abs,mean_p50_abs,median_p50_abs,mean_p95_abs,median_p95_abs,mean_mse,median_mse,mean_max_abs_error,median_max_abs_error
primary,2wikimqa,22,key,4,38 44 138 164,0.17002169796012354,0.1705714148079283,6.5791015625,6.564453125,0.014610337037037215,0.014593570114954591,-0.02012701198842297,-0.021773791284346117,1.818638059528265,1.8172056396524972,3.307539803452614,3.3022366570191117,22.2890625,22.3046875,0.7518310546875,0.751220703125,3.31201171875,3.3076171875,0.09571148497961818,0.09563112134209852,2.7890625,2.7890625
primary,2wikimqa,22,value,4,38 44 138 164,0.3953398825628708,0.39526264308584874,1.475830078125,1.478515625,0.005239963035819543,0.00524341737223559,-0.004372709811312907,-0.0043185205017289945,0.5431899127936579,0.5436148990998171,0.2950636770171571,0.2955181706269817,7.7255859375,7.6796875,0.350830078125,0.350830078125,1.076171875,1.0771484375,0.04615294376016237,0.04630253301003941,1.586395263671875,1.5921630859375
primary,2wikimqa,27,key,4,38 44 138 164,0.1708919242583754,0.17125670479397379,6.37890625,6.322265625,0.012068873514066745,0.012005537682760494,-0.002559094328515143,-0.0025885964677864193,1.8255097645788492,1.8228580029443626,3.3325672068872247,3.322831796310669,21.73828125,21.859375,0.7347412109375,0.734130859375,3.0234375,3.0205078125,0.09740335469701468,0.09745394986562358,2.828125,2.828125
primary,2wikimqa,27,value,4,38 44 138 164,0.39754033786514487,0.39758877823902755,1.788330078125,1.78466796875,0.004727134088273214,0.004708071657770655,-0.0006316785691948563,-0.00077553869292131,0.6684023528854947,0.667351634492255,0.4467915208787446,0.4453582749649281,7.7548828125,7.7109375,0.4354248046875,0.434814453125,1.31396484375,1.3115234375,0.0707224562544678,0.0705107904879693,1.95635986328125,1.975830078125
primary,2wikimqa,31,key,4,38 44 138 164,0.17746241032840918,0.17759538574984973,6.4775390625,6.46484375,0.01619946300802144,0.016097961546507687,-0.031684961530438385,-0.03141748639721573,1.767745942662922,1.7662076301346457,3.125014546823412,3.1194906887193268,21.90234375,21.8984375,0.792724609375,0.792236328125,3.3251953125,3.3193359375,0.09851432288473069,0.09850017363846958,3.58642578125,3.5849609375
primary,2wikimqa,31,value,4,38 44 138 164,0.4012070809464531,0.4011755502750948,1.520751953125,1.52001953125,0.00597417094869942,0.005976906841455928,-0.004916820683390817,-0.00477902569287497,0.555943307702597,0.5556530837707214,0.30908376557194184,0.3087504438044576,7.3984375,7.39453125,0.35614013671875,0.35595703125,1.0908203125,1.08984375,0.04983796488939403,0.04981713687184039,2.0516357421875,2.0516357421875
primary,lcc,0,key,4,122 174 214 357,0.20029478520673205,0.20022994245126524,2.25634765625,2.2470703125,0.01345705130076935,0.013505442215251379,0.009556226901556598,0.009621274055820084,0.6850369932590811,0.6839389954450925,0.46933827709463155,0.46777826018441293,6.25390625,6.255859375,0.36907958984375,0.3682861328125,1.338134765625,1.33837890625,0.01882289137289975,0.019044916182488124,1.7822113037109375,1.789093017578125
primary,lcc,0,value,4,122 174 214 357,0.5356167763335358,0.5380789099238312,0.14678955078125,0.1468505859375,0.017966406424311215,0.017980628380408654,4.190329934426422e-05,2.6761462206796644e-05,0.03258414021716429,0.03268496585451039,0.0010617707938542463,0.0010683089229847973,1.201171875,1.201171875,0.005847930908203125,0.005859375,0.0417633056640625,0.0415496826171875,0.00030447196671836726,0.0003043757214975046,0.226654052734375,0.226654052734375
primary,lcc,4,key,4,122 174 214 357,0.130770217504527,0.13082513028096066,7.80078125,7.8046875,0.015513173956806726,0.015424459247292084,-0.010975388616935176,-0.011919712586282542,1.8995842539957868,1.9019642001737669,3.60862447288062,3.617571594500471,18.453125,18.40625,0.728759765625,0.72705078125,3.67431640625,3.6630859375,0.0617553785855521,0.06169127948239993,2.892578125,2.875
primary,lcc,4,value,4,122 174 214 357,0.40533285999942437,0.40540399355841616,0.7169189453125,0.716796875,0.007836366080333076,0.007832300675542872,-0.0009970565484806594,-0.000880179467783733,0.2508424478891746,0.250704118174648,0.06292484290740082,0.0628540381092238,2.9248046875,2.9443359375,0.15570068359375,0.15557861328125,0.497314453125,0.496826171875,0.010338806470431,0.010332495992158252,0.7343482971191406,0.750244140625
primary,lcc,9,key,4,122 174 214 357,0.1654426006862686,0.1660052323809254,7.5185546875,7.484375,0.0160289002989702,0.01603427263218352,0.004882917436125366,0.005176447718701126,1.8452230749443495,1.8449672069788128,3.405012756175037,3.403968604162542,20.984375,21.0234375,0.7435302734375,0.7431640625,3.34423828125,3.3359375,0.09320239572728983,0.09305337152386073,3.234375,3.1640625
primary,lcc,9,value,4,122 174 214 357,0.4044191145983307,0.4041187955414107,1.04150390625,1.0400390625,0.006804964978517878,0.006752030875860521,0.0002907285619852184,7.527034435572594e-05,0.37231236072214025,0.37242866264112473,0.13861982254181615,0.13870494871481961,6.9326171875,6.9140625,0.23431396484375,0.23443603515625,0.7366943359375,0.737060546875,0.0226659225944953,0.022575589565473064,1.384765625,1.3837890625
primary,lcc,13,key,4,122 174 214 357,0.178118767439507,0.17881330906360005,6.4052734375,6.40234375,0.014232757510219934,0.014239966403508324,-0.011846085608307105,-0.011927084467759301,1.7648821656445743,1.7663787201760437,3.1148801369694343,3.12010767902824,19.4765625,19.3984375,0.735595703125,0.73291015625,3.21142578125,3.2001953125,0.09880616228514244,0.09913271376319555,2.8955078125,2.85546875
primary,lcc,13,value,4,122 174 214 357,0.3980553802398128,0.3979358769703757,1.155517578125,1.1552734375,0.006006237509175991,0.005998456236203606,-0.0013365308448764176,-0.0011567829495188232,0.41922043912233764,0.4200911130977515,0.17575355139310755,0.17647747652717777,5.2861328125,5.279296875,0.2674560546875,0.2684326171875,0.83056640625,0.83251953125,0.02783450499986745,0.027919689383763466,1.410400390625,1.411865234375
primary,lcc,18,key,4,122 174 214 357,0.17176916528207592,0.17184370632710955,6.5546875,6.5625,0.013475537277314336,0.013393185494876258,0.0014375644482993953,0.00030548092414743263,1.7760727888492815,1.777816263389412,3.154450809454991,3.160632450142358,19.19921875,19.265625,0.7181396484375,0.718017578125,3.13330078125,3.1396484375,0.09306270363842788,0.09339432922726285,2.904296875,2.869140625
